no,style,series,trimType_,flowCharacter_,flowDirection_,balancing_,rating_c,valveSize,seatBore,travel,coeff,one,two,three,four,five,six,seven,eight,nine,ten
3392,Globe Straight,11,Anti0Cavitation III,Linear,Over,Balanced,ASME 2500,6,4.1667,3.75,Fd,0,0,0,0,0,0,0,0,0,0
3393,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,3,2.25,2.5,Cv,2.81,6,9.2,12.5,15.7,18.9,22.1,25.3,28.5,31.7
3394,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,3,2.25,2.5,FL,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
3395,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,3,2.25,2.5,Xt,1,1,1,1,1,1,1,1,1,1
3396,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,3,2.25,2.5,Fd,1,1,1,1,1,1,1,1,1,1
3397,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,4,2.9,2.75,Cv,4.01,8.2,12.3,16.5,20.7,24.9,29,33.2,37.4,41.5
3398,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,4,2.9,2.75,FL,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
3399,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,4,2.9,2.75,Xt,1,1,1,1,1,1,1,1,1,1
3400,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,4,2.9,2.75,Fd,1,1,1,1,1,1,1,1,1,1
3401,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,6,4.1667,3.75,Cv,8.9,17.3,25.6,34,42.4,50.7,59.1,67.5,75.8,84.2
3402,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,6,4.1667,3.75,FL,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
3403,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,6,4.1667,3.75,Xt,1,1,1,1,1,1,1,1,1,1
3404,Globe Straight,11,Anti-Cavitation II,Linear,Over,Balanced,ASME 2500,6,4.1667,3.75,Fd,1,1,1,1,1,1,1,1,1,1
3405,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,2,1.3125,1.5,Cv,3,7.7,13,17.8,22.3,26.4,31,35.3,39,42
3406,Globe Straight,11,Low Noise Trim A1,Linear,Under,Unbalanced,ASME 900,2,1.3125,1.5,FL,0,0,0,0,0,0,0,0,0,0
3407,Globe Straight,11,Low Noise Trim A1,Linear,Under,Unbalanced,ASME 900,2,1.3125,1.5,Xt,0.516,0.602,0.604,0.61,0.607,0.618,0.608,0.607,0.612,0.608
3408,Globe Straight,11,Low Noise Trim A1,Linear,Under,Unbalanced,ASME 900,2,1.3125,1.5,Fd,0,0,0,0,0,0,0,0,0,0
3409,Globe Straight,11,Low Noise Trim A1,Linear,Under,Unbalanced,ASME 900,3,2.875,2,Cv,6,21,34.6,49,62.7,77,89.7,98.8,105,108
3410,Globe Straight,11,Low Noise Trim A1,Linear,Under,Unbalanced,ASME 900,3,2.875,2,FL,1,1,1,1,1,1,1,1,1,1
3411,Globe Straight,11,Low Noise Trim A1,Linear,Under,Unbalanced,ASME 900,3,2.875,2,Xt,0.87,0.8,0.83,0.81,0.82,0.82,0.81,0.82,0.81,0.82
3412,Globe Straight,11,Low Noise Trim A1,Linear,Under,Unbalanced,ASME 900,3,2.875,2,Fd,1,1,1,1,1,1,1,1,1,1
3413,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,3,2.875,2,Cv,6.57,24.1,42.1,58.9,74,86.8,97.4,105,110,111
3414,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,3,2.875,2,FL,1,1,1,1,1,1,1,1,1,1
3415,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,3,2.875,2,Xt,0.727,0.61,0.56,0.558,0.588,0.641,0.687,0.723,0.738,0.772
3416,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,3,2.875,2,Fd,1,1,1,1,1,1,1,1,1,1
3417,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,4,3.625,2,Cv,7.56,27.3,50.1,71.5,90.8,109,126,142,155,162
3418,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,4,3.625,2,FL,1,1,1,1,1,1,1,1,1,1
3419,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,4,3.625,2,Xt,0.625,0.586,0.545,0.519,0.52,0.542,0.577,0.614,0.64,0.674
3420,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,4,3.625,2,Fd,1,1,1,1,1,1,1,1,1,1
3421,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,4,3.6,2,Cv,13.3,28.1,43.7,60,76.3,92,106,118,127,134
3422,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,4,3.6,2,FL,1,1,1,1,1,1,1,1,1,1
3423,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,4,3.6,2,Xt,0.527,0.554,0.578,0.561,0.559,0.569,0.58,0.61,0.652,0.679
3424,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,4,3.6,2,Fd,1,1,1,1,1,1,1,1,1,1
3425,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,6,3.625,3,Cv,28.6,66.4,103,142,180,220,253,284,308,324
3426,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,6,3.625,3,FL,1,1,1,1,1,1,1,1,1,1
3427,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,6,3.625,3,Xt,0.423,0.513,0.533,0.525,0.557,0.535,0.543,0.56,0.598,0.627
3428,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,6,3.625,3,Fd,1,1,1,1,1,1,1,1,1,1
3429,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,6,5.375,3,Cv,31.4,63.7,95.3,127,159,190,219,241,257,266
3430,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,6,5.375,3,FL,1,1,1,1,1,1,1,1,1,1
3431,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,6,5.375,3,Xt,0.572,0.556,0.549,0.551,0.544,0.55,0.555,0.594,0.637,0.672
3432,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,6,5.375,3,Fd,1,1,1,1,1,1,1,1,1,1
3433,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,3,2.875,2,Cv,3,9,14.4,18.6,23.4,28.5,34.6,40.2,45,48.8
3434,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,3,2.875,2,FL,1,1,1,1,1,1,1,1,1,1
3435,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,3,2.875,2,Xt,0.615,0.618,0.592,0.622,0.622,0.633,0.62,0.624,0.622,0.622
3436,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,3,2.875,2,Fd,1,1,1,1,1,1,1,1,1,1
3437,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,4,3.6,2,Cv,10,20.1,30.3,40.9,51.9,63,74.2,85.1,95.4,105
3438,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,4,3.6,2,FL,1,1,1,1,1,1,1,1,1,1
3439,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,4,3.6,2,Xt,0.527,0.554,0.578,0.561,0.559,0.569,0.58,0.61,0.652,0.679
3440,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,4,3.6,2,Fd,1,1,1,1,1,1,1,1,1,1
3441,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,6,5.375,3,Cv,23.7,46.5,69,91.2,113,136,158,180,201,220
3442,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,6,5.375,3,FL,1,1,1,1,1,1,1,1,1,1
3443,Globe Straight,11,Low Noise Trim A1,Linear,Under,Balanced,ASME 900,6,5.375,3,Xt,0.572,0.556,0.549,0.551,0.544,0.55,0.555,0.594,0.637,0.672
